"REF_DATE","GEO","DGUID","Education","Donation statistics (UOM)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2013","Quebec","2016A000224","Less than high school","Percentage of total donation value","Percent","239","units","0","v95644247","6.2.6","5.4","","","","1"
"2013","Quebec","2016A000224","Graduated from high school","Donor rate","Percent","239","units","0","v95644248","6.3.1","77.6","","","","1"
"2013","Quebec","2016A000224","Graduated from high school","Average annual donations","Dollars","81","units","0","v95644249","6.3.2","230","E","","","0"
"2013","Quebec","2016A000224","Graduated from high school","Median annual donations","Dollars","81","units","0","v95644250","6.3.3","64","","","","0"
"2013","Quebec","2016A000224","Graduated from high school","Total annual donations","Dollars","81","millions","6","v95644251","6.3.4","302.0","E","","","1"
"2013","Quebec","2016A000224","Graduated from high school","Population distribution","Percent","239","units","0","v95644252","6.3.5","26.5","","","","1"
"2013","Quebec","2016A000224","Graduated from high school","Percentage of total donation value","Percent","239","units","0","v95644253","6.3.6","21.5","E","","","1"
"2013","Quebec","2016A000224","Post-secondary diploma","Donor rate","Percent","239","units","0","v95644254","6.4.1","85.6","","","","1"
"2013","Quebec","2016A000224","Post-secondary diploma","Average annual donations","Dollars","81","units","0","v95644255","6.4.2","189","E","","","0"
"2013","Quebec","2016A000224","Post-secondary diploma","Median annual donations","Dollars","81","units","0","v95644256","6.4.3","59","","","","0"
"2013","Quebec","2016A000224","Post-secondary diploma","Total annual donations","Dollars","81","millions","6","v95644257","6.4.4","360.6","E","","","1"
"2013","Quebec","2016A000224","Post-secondary diploma","Population distribution","Percent","239","units","0","v95644258","6.4.5","35.0","","","","1"
"2013","Quebec","2016A000224","Post-secondary diploma","Percentage of total donation value","Percent","239","units","0","v95644259","6.4.6","25.7","","","","1"
"2013","Quebec","2016A000224","University degree","Donor rate","Percent","239","units","0","v95644260","6.5.1","86.1","","","","1"
"2013","Quebec","2016A000224","University degree","Average annual donations","Dollars","81","units","0","v95644261","6.5.2","487","","","","0"
"2013","Quebec","2016A000224","University degree","Median annual donations","Dollars","81","units","0","v95644262","6.5.3","134","","","","0"
"2013","Quebec","2016A000224","University degree","Total annual donations","Dollars","81","millions","6","v95644263","6.5.4","664.6","","","","1"
"2013","Quebec","2016A000224","University degree","Population distribution","Percent","239","units","0","v95644264","6.5.5","24.8","","","","1"
"2013","Quebec","2016A000224","University degree","Percentage of total donation value","Percent","239","units","0","v95644265","6.5.6","47.4","","","","1"
"2013","Ontario","2016A000235","All education levels","Donor rate","Percent","239","units","0","v95644266","7.1.1","83.7","","","","1"
"2013","Ontario","2016A000235","All education levels","Average annual donations","Dollars","81","units","0","v95644267","7.1.2","543","","","","0"
"2013","Ontario","2016A000235","All education levels","Median annual donations","Dollars","81","units","0","v95644268","7.1.3","158","","","","0"
"2013","Ontario","2016A000235","All education levels","Total annual donations","Dollars","81","millions","6","v95644269","7.1.4","4861.7","","","","1"
"2013","Ontario","2016A000235","All education levels","Population distribution","Percent","239","units","0","v95644270","7.1.5","100.0","","","","1"
"2013","Ontario","2016A000235","All education levels","Percentage of total donation value","Percent","239","units","0","v95644271","7.1.6","100.0","","","","1"
"2013","Ontario","2016A000235","Less than high school","Donor rate","Percent","239","units","0","v95644272","7.2.1","68.3","","","","1"
"2013","Ontario","2016A000235","Less than high school","Average annual donations","Dollars","81","units","0","v95644273","7.2.2","391","E","","","0"
"2013","Ontario","2016A000235","Less than high school","Median annual donations","Dollars","81","units","0","v95644274","7.2.3","69","E","","","0"
"2013","Ontario","2016A000235","Less than high school","Total annual donations","Dollars","81","millions","6","v95644275","7.2.4","309.3","E","","","1"
"2013","Ontario","2016A000235","Less than high school","Population distribution","Percent","239","units","0","v95644276","7.2.5","10.8","","","","1"
"2013","Ontario","2016A000235","Less than high school","Percentage of total donation value","Percent","239","units","0","v95644277","7.2.6","6.4","E","","","1"
"2013","Ontario","2016A000235","Graduated from high school","Donor rate","Percent","239","units","0","v95644278","7.3.1","79.9","","","","1"
"2013","Ontario","2016A000235","Graduated from high school","Average annual donations","Dollars","81","units","0","v95644279","7.3.2","412","","","","0"
"2013","Ontario","2016A000235","Graduated from high school","Median annual donations","Dollars","81","units","0","v95644280","7.3.3","101","","","","0"
"2013","Ontario","2016A000235","Graduated from high school","Total annual donations","Dollars","81","millions","6","v95644281","7.3.4","1131.1","","","","1"
"2013","Ontario","2016A000235","Graduated from high school","Population distribution","Percent","239","units","0","v95644282","7.3.5","32.1","","","","1"
"2013","Ontario","2016A000235","Graduated from high school","Percentage of total donation value","Percent","239","units","0","v95644283","7.3.6","23.3","","","","1"
"2013","Ontario","2016A000235","Post-secondary diploma","Donor rate","Percent","239","units","0","v95644284","7.4.1","89.0","","","","1"
"2013","Ontario","2016A000235","Post-secondary diploma","Average annual donations","Dollars","81","units","0","v95644285","7.4.2","451","","","","0"
"2013","Ontario","2016A000235","Post-secondary diploma","Median annual donations","Dollars","81","units","0","v95644286","7.4.3","154","","","","0"
"2013","Ontario","2016A000235","Post-secondary diploma","Total annual donations","Dollars","81","millions","6","v95644287","7.4.4","1286.1","","","","1"
"2013","Ontario","2016A000235","Post-secondary diploma","Population distribution","Percent","239","units","0","v95644288","7.4.5","29.9","","","","1"
"2013","Ontario","2016A000235","Post-secondary diploma","Percentage of total donation value","Percent","239","units","0","v95644289","7.4.6","26.5","","","","1"
"2013","Ontario","2016A000235","University degree","Donor rate","Percent","239","units","0","v95644290","7.5.1","88.5","","","","1"
"2013","Ontario","2016A000235","University degree","Average annual donations","Dollars","81","units","0","v95644291","7.5.2","830","","","","0"
"2013","Ontario","2016A000235","University degree","Median annual donations","Dollars","81","units","0","v95644292","7.5.3","252","","","","0"
"2013","Ontario","2016A000235","University degree","Total annual donations","Dollars","81","millions","6","v95644293","7.5.4","2135.2","","","","1"
"2013","Ontario","2016A000235","University degree","Population distribution","Percent","239","units","0","v95644294","7.5.5","27.2","","","","1"
"2013","Ontario","2016A000235","University degree","Percentage of total donation value","Percent","239","units","0","v95644295","7.5.6","43.9","","","","1"
"2013","Manitoba","2016A000246","All education levels","Donor rate","Percent","239","units","0","v95644296","8.1.1","83.9","","","","1"
"2013","Manitoba","2016A000246","All education levels","Average annual donations","Dollars","81","units","0","v95644297","8.1.2","712","","","","0"
"2013","Manitoba","2016A000246","All education levels","Median annual donations","Dollars","81","units","0","v95644298","8.1.3","199","","","","0"
"2013","Manitoba","2016A000246","All education levels","Total annual donations","Dollars","81","millions","6","v95644299","8.1.4","586.0","","","","1"
"2013","Manitoba","2016A000246","All education levels","Population distribution","Percent","239","units","0","v95644300","8.1.5","100.0","","","","1"
"2013","Manitoba","2016A000246","All education levels","Percentage of total donation value","Percent","239","units","0","v95644301","8.1.6","100.0","","","","1"
"2013","Manitoba","2016A000246","Less than high school","Donor rate","Percent","239","units","0","v95644302","8.2.1","75.3","","","","1"
"2013","Manitoba","2016A000246","Less than high school","Average annual donations","Dollars","81","units","0","v95644303","8.2.2","467","E","","","0"
"2013","Manitoba","2016A000246","Less than high school","Median annual donations","Dollars","81","units","0","v95644304","8.2.3","113","E","","","0"
"2013","Manitoba","2016A000246","Less than high school","Total annual donations","Dollars","81","millions","6","v95644305","8.2.4","57.0","E","","","1"
"2013","Manitoba","2016A000246","Less than high school","Population distribution","Percent","239","units","0","v95644306","8.2.5","16.5","","","","1"
"2013","Manitoba","2016A000246","Less than high school","Percentage of total donation value","Percent","239","units","0","v95644307","8.2.6","9.7","E","","","1"
"2013","Manitoba","2016A000246","Graduated from high school","Donor rate","Percent","239","units","0","v95644308","8.3.1","78.1","","","","1"
"2013","Manitoba","2016A000246","Graduated from high school","Average annual donations","Dollars","81","units","0","v95644309","8.3.2","436","","","","0"
"2013","Manitoba","2016A000246","Graduated from high school","Median annual donations","Dollars","81","units","0","v95644310","8.3.3","145","","","","0"
"2013","Manitoba","2016A000246","Graduated from high school","Total annual donations","Dollars","81","millions","6","v95644311","8.3.4","111.8","","","","1"
"2013","Manitoba","2016A000246","Graduated from high school","Population distribution","Percent","239","units","0","v95644312","8.3.5","33.5","","","","1"
"2013","Manitoba","2016A000246","Graduated from high school","Percentage of total donation value","Percent","239","units","0","v95644313","8.3.6","19.1","E","","","1"
"2013","Manitoba","2016A000246","Post-secondary diploma","Donor rate","Percent","239","units","0","v95644314","8.4.1","89.2","","","","1"
"2013","Manitoba","2016A000246","Post-secondary diploma","Average annual donations","Dollars","81","units","0","v95644315","8.4.2","533","","","","0"
"2013","Manitoba","2016A000246","Post-secondary diploma","Median annual donations","Dollars","81","units","0","v95644316","8.4.3","199","","","","0"
"2013","Manitoba","2016A000246","Post-secondary diploma","Total annual donations","Dollars","81","millions","6","v95644317","8.4.4","137.0","","","","1"
"2013","Manitoba","2016A000246","Post-secondary diploma","Population distribution","Percent","239","units","0","v95644318","8.4.5","29.4","","","","1"
"2013","Manitoba","2016A000246","Post-secondary diploma","Percentage of total donation value","Percent","239","units","0","v95644319","8.4.6","23.4","","","","1"
"2013","Manitoba","2016A000246","University degree","Donor rate","Percent","239","units","0","v95644320","8.5.1","92.6","","","","1"
"2013","Manitoba","2016A000246","University degree","Average annual donations","Dollars","81","units","0","v95644321","8.5.2","1492","E","","","0"
"2013","Manitoba","2016A000246","University degree","Median annual donations","Dollars","81","units","0","v95644322","8.5.3","354","","","","0"
"2013","Manitoba","2016A000246","University degree","Total annual donations","Dollars","81","millions","6","v95644323","8.5.4","280.2","E","","","1"
"2013","Manitoba","2016A000246","University degree","Population distribution","Percent","239","units","0","v95644324","8.5.5","20.7","","","","1"
"2013","Manitoba","2016A000246","University degree","Percentage of total donation value","Percent","239","units","0","v95644325","8.5.6","47.8","","","","1"
"2013","Saskatchewan","2016A000247","All education levels","Donor rate","Percent","239","units","0","v95644326","9.1.1","84.5","","","","1"
"2013","Saskatchewan","2016A000247","All education levels","Average annual donations","Dollars","81","units","0","v95644327","9.1.2","658","","","","0"
"2013","Saskatchewan","2016A000247","All education levels","Median annual donations","Dollars","81","units","0","v95644328","9.1.3","218","","","","0"
"2013","Saskatchewan","2016A000247","All education levels","Total annual donations","Dollars","81","millions","6","v95644329","9.1.4","470.5","","","","1"
"2013","Saskatchewan","2016A000247","All education levels","Population distribution","Percent","239","units","0","v95644330","9.1.5","100.0","","","","1"
"2013","Saskatchewan","2016A000247","All education levels","Percentage of total donation value","Percent","239","units","0","v95644331","9.1.6","100.0","","","","1"
"2013","Saskatchewan","2016A000247","Less than high school","Donor rate","Percent","239","units","0","v95644332","9.2.1","68.4","","","","1"
"2013","Saskatchewan","2016A000247","Less than high school","Average annual donations","Dollars","81","units","0","v95644333","9.2.2","327","","","","0"
"2013","Saskatchewan","2016A000247","Less than high school","Median annual donations","Dollars","81","units","0","v95644334","9.2.3","","F","","","0"
"2013","Saskatchewan","2016A000247","Less than high school","Total annual donations","Dollars","81","millions","6","v95644335","9.2.4","35.3","E","","","1"
"2013","Saskatchewan","2016A000247","Less than high school","Population distribution","Percent","239","units","0","v95644336","9.2.5","18.7","","","","1"
"2013","Saskatchewan","2016A000247","Less than high school","Percentage of total donation value","Percent","239","units","0","v95644337","9.2.6","7.5","E","","","1"
"2013","Saskatchewan","2016A000247","Graduated from high school","Donor rate","Percent","239","units","0","v95644338","9.3.1","82.9","","","","1"
"2013","Saskatchewan","2016A000247","Graduated from high school","Average annual donations","Dollars","81","units","0","v95644339","9.3.2","515","E","","","0"
"2013","Saskatchewan","2016A000247","Graduated from high school","Median annual donations","Dollars","81","units","0","v95644340","9.3.3","149","E","","","0"
"2013","Saskatchewan","2016A000247","Graduated from high school","Total annual donations","Dollars","81","millions","6","v95644341","9.3.4","115.1","E","","","1"
"2013","Saskatchewan","2016A000247","Graduated from high school","Population distribution","Percent","239","units","0","v95644342","9.3.5","31.8","","","","1"
"2013","Saskatchewan","2016A000247","Graduated from high school","Percentage of total donation value","Percent","239","units","0","v95644343","9.3.6","24.5","E","","","1"
"2013","Saskatchewan","2016A000247","Post-secondary diploma","Donor rate","Percent","239","units","0","v95644344","9.4.1","90.1","","","","1"
"2013","Saskatchewan","2016A000247","Post-secondary diploma","Average annual donations","Dollars","81","units","0","v95644345","9.4.2","553","","","","0"
"2013","Saskatchewan","2016A000247","Post-secondary diploma","Median annual donations","Dollars","81","units","0","v95644346","9.4.3","226","","","","0"
"2013","Saskatchewan","2016A000247","Post-secondary diploma","Total annual donations","Dollars","81","millions","6","v95644347","9.4.4","125.6","","","","1"
"2013","Saskatchewan","2016A000247","Post-secondary diploma","Population distribution","Percent","239","units","0","v95644348","9.4.5","29.8","","","","1"
"2013","Saskatchewan","2016A000247","Post-secondary diploma","Percentage of total donation value","Percent","239","units","0","v95644349","9.4.6","26.7","","","","1"
"2013","Saskatchewan","2016A000247","University degree","Donor rate","Percent","239","units","0","v95644350","9.5.1","94.0","","","","1"
"2013","Saskatchewan","2016A000247","University degree","Average annual donations","Dollars","81","units","0","v95644351","9.5.2","1242","E","","","0"
"2013","Saskatchewan","2016A000247","University degree","Median annual donations","Dollars","81","units","0","v95644352","9.5.3","349","","","","0"
"2013","Saskatchewan","2016A000247","University degree","Total annual donations","Dollars","81","millions","6","v95644353","9.5.4","194.5","E","","","1"
"2013","Saskatchewan","2016A000247","University degree","Population distribution","Percent","239","units","0","v95644354","9.5.5","19.7","","","","1"
"2013","Saskatchewan","2016A000247","University degree","Percentage of total donation value","Percent","239","units","0","v95644355","9.5.6","41.3","","","","1"
"2013","Alberta","2016A000248","All education levels","Donor rate","Percent","239","units","0","v95644356","10.1.1","86.3","","","","1"
"2013","Alberta","2016A000248","All education levels","Average annual donations","Dollars","81","units","0","v95644357","10.1.2","872","","","","0"
"2013","Alberta","2016A000248","All education levels","Median annual donations","Dollars","81","units","0","v95644358","10.1.3","222","","","","0"
"2013","Alberta","2016A000248","All education levels","Total annual donations","Dollars","81","millions","6","v95644359","10.1.4","2282.8","","","","1"
"2013","Alberta","2016A000248","All education levels","Population distribution","Percent","239","units","0","v95644360","10.1.5","100.0","","","","1"
"2013","Alberta","2016A000248","All education levels","Percentage of total donation value","Percent","239","units","0","v95644361","10.1.6","100.0","","","","1"
"2013","Alberta","2016A000248","Less than high school","Donor rate","Percent","239","units","0","v95644362","10.2.1","66.3","","","","1"
"2013","Alberta","2016A000248","Less than high school","Average annual donations","Dollars","81","units","0","v95644363","10.2.2","557","E","","","0"
"2013","Alberta","2016A000248","Less than high school","Median annual donations","Dollars","81","units","0","v95644364","10.2.3","118","E","","","0"
"2013","Alberta","2016A000248","Less than high school","Total annual donations","Dollars","81","millions","6","v95644365","10.2.4","125.6","E","","","1"
"2013","Alberta","2016A000248","Less than high school","Population distribution","Percent","239","units","0","v95644366","10.2.5","11.2","","","","1"
"2013","Alberta","2016A000248","Less than high school","Percentage of total donation value","Percent","239","units","0","v95644367","10.2.6","5.5","E","","","1"
"2013","Alberta","2016A000248","Graduated from high school","Donor rate","Percent","239","units","0","v95644368","10.3.1","86.1","","","","1"
"2013","Alberta","2016A000248","Graduated from high school","Average annual donations","Dollars","81","units","0","v95644369","10.3.2","724","E","","","0"
"2013","Alberta","2016A000248","Graduated from high school","Median annual donations","Dollars","81","units","0","v95644370","10.3.3","124","E","","","0"
"2013","Alberta","2016A000248","Graduated from high school","Total annual donations","Dollars","81","millions","6","v95644371","10.3.4","604.0","E","","","1"
"2013","Alberta","2016A000248","Graduated from high school","Population distribution","Percent","239","units","0","v95644372","10.3.5","32.0","","","","1"
"2013","Alberta","2016A000248","Graduated from high school","Percentage of total donation value","Percent","239","units","0","v95644373","10.3.6","26.5","E","","","1"
"2013","Alberta","2016A000248","Post-secondary diploma","Donor rate","Percent","239","units","0","v95644374","10.4.1","90.5","","","","1"
"2013","Alberta","2016A000248","Post-secondary diploma","Average annual donations","Dollars","81","units","0","v95644375","10.4.2","832","E","","","0"
"2013","Alberta","2016A000248","Post-secondary diploma","Median annual donations","Dollars","81","units","0","v95644376","10.4.3","220","","","","0"
"2013","Alberta","2016A000248","Post-secondary diploma","Total annual donations","Dollars","81","millions","6","v95644377","10.4.4","766.0","E","","","1"
"2013","Alberta","2016A000248","Post-secondary diploma","Population distribution","Percent","239","units","0","v95644378","10.4.5","33.6","","","","1"
"2013","Alberta","2016A000248","Post-secondary diploma","Percentage of total donation value","Percent","239","units","0","v95644379","10.4.6","33.6","","","","1"
"2013","Alberta","2016A000248","University degree","Donor rate","Percent","239","units","0","v95644380","10.5.1","90.5","","","","1"
"2013","Alberta","2016A000248","University degree","Average annual donations","Dollars","81","units","0","v95644381","10.5.2","1237","","","","0"
"2013","Alberta","2016A000248","University degree","Median annual donations","Dollars","81","units","0","v95644382","10.5.3","364","","","","0"
"2013","Alberta","2016A000248","University degree","Total annual donations","Dollars","81","millions","6","v95644383","10.5.4","787.1","","","","1"
"2013","Alberta","2016A000248","University degree","Population distribution","Percent","239","units","0","v95644384","10.5.5","23.2","","","","1"
"2013","Alberta","2016A000248","University degree","Percentage of total donation value","Percent","239","units","0","v95644385","10.5.6","34.5","","","","1"
"2013","British Columbia","2016A000259","All education levels","Donor rate","Percent","239","units","0","v95644386","11.1.1","77.8","","","","1"
"2013","British Columbia","2016A000259","All education levels","Average annual donations","Dollars","81","units","0","v95644387","11.1.2","675","","","","0"
"2013","British Columbia","2016A000259","All education levels","Median annual donations","Dollars","81","units","0","v95644388","11.1.3","126","","","","0"
"2013","British Columbia","2016A000259","All education levels","Total annual donations","Dollars","81","millions","6","v95644389","11.1.4","1917.0","","","","1"
"2013","British Columbia","2016A000259","All education levels","Population distribution","Percent","239","units","0","v95644390","11.1.5","100.0","","","","1"
"2013","British Columbia","2016A000259","All education levels","Percentage of total donation value","Percent","239","units","0","v95644391","11.1.6","100.0","","","","1"
"2013","British Columbia","2016A000259","Less than high school","Donor rate","Percent","239","units","0","v95644392","11.2.1","61.4","","","","1"
"2013","British Columbia","2016A000259","Less than high school","Average annual donations","Dollars","81","units","0","v95644393","11.2.2","308","E","","","0"
"2013","British Columbia","2016A000259","Less than high school","Median annual donations","Dollars","81","units","0","v95644394","11.2.3","49","E","","","0"
"2013","British Columbia","2016A000259","Less than high school","Total annual donations","Dollars","81","millions","6","v95644395","11.2.4","85.8","E","","","1"
"2013","British Columbia","2016A000259","Less than high school","Population distribution","Percent","239","units","0","v95644396","11.2.5","12.4","","","","1"
"2013","British Columbia","2016A000259","Less than high school","Percentage of total donation value","Percent","239","units","0","v95644397","11.2.6","4.5","E","","","1"
"2013","British Columbia","2016A000259","Graduated from high school","Donor rate","Percent","239","units","0","v95644398","11.3.1","72.4","","","","1"
"2013","British Columbia","2016A000259","Graduated from high school","Average annual donations","Dollars","81","units","0","v95644399","11.3.2","423","E","","","0"
"2013","British Columbia","2016A000259","Graduated from high school","Median annual donations","Dollars","81","units","0","v95644400","11.3.3","86","E","","","0"
"2013","British Columbia","2016A000259","Graduated from high school","Total annual donations","Dollars","81","millions","6","v95644401","11.3.4","323.8","E","","","1"
"2013","British Columbia","2016A000259","Graduated from high school","Population distribution","Percent","239","units","0","v95644402","11.3.5","29.0","","","","1"
"2013","British Columbia","2016A000259","Graduated from high school","Percentage of total donation value","Percent","239","units","0","v95644403","11.3.6","16.9","E","","","1"
"2013","British Columbia","2016A000259","Post-secondary diploma","Donor rate","Percent","239","units","0","v95644404","11.4.1","82.9","","","","1"
"2013","British Columbia","2016A000259","Post-secondary diploma","Average annual donations","Dollars","81","units","0","v95644405","11.4.2","569","","","","0"
"2013","British Columbia","2016A000259","Post-secondary diploma","Median annual donations","Dollars","81","units","0","v95644406","11.4.3","122","","","","0"
"2013","British Columbia","2016A000259","Post-secondary diploma","Total annual donations","Dollars","81","millions","6","v95644407","11.4.4","513.1","","","","1"
"2013","British Columbia","2016A000259","Post-secondary diploma","Population distribution","Percent","239","units","0","v95644408","11.4.5","29.8","","","","1"
"2013","British Columbia","2016A000259","Post-secondary diploma","Percentage of total donation value","Percent","239","units","0","v95644409","11.4.6","26.8","","","","1"
"2013","British Columbia","2016A000259","University degree","Donor rate","Percent","239","units","0","v95644410","11.5.1","85.0","","","","1"
"2013","British Columbia","2016A000259","University degree","Average annual donations","Dollars","81","units","0","v95644411","11.5.2","1111","E","","","0"
"2013","British Columbia","2016A000259","University degree","Median annual donations","Dollars","81","units","0","v95644412","11.5.3","279","","","","0"
"2013","British Columbia","2016A000259","University degree","Total annual donations","Dollars","81","millions","6","v95644413","11.5.4","994.2","E","","","1"
"2013","British Columbia","2016A000259","University degree","Population distribution","Percent","239","units","0","v95644414","11.5.5","28.8","","","","1"
"2013","British Columbia","2016A000259","University degree","Percentage of total donation value","Percent","239","units","0","v95644415","11.5.6","51.9","","","","1"
